weather,road_condition,traffic_level,visibility,time_of_day,speed_kmh,road_type,lighting,num_vehicles,risk_score,risk_level
Foggy,Wet,Heavy,Moderate (500m-1km),Evening Rush,83,Rural Single Lane,Dark / No Lights,2,91.0,HIGH
Overcast,Potholes / Damaged,Congested,Moderate (500m-1km),Morning Rush,98,Residential,Dimly Lit,10,70.5,HIGH
Overcast,Under Construction,Low,Good (>1km),Afternoon,106,Urban Arterial,Dark / No Lights,9,53.8,MEDIUM
Rainy,Under Construction,Low,Good (>1km),Late Night,120,Ghat / Mountain,Dimly Lit,16,89.4,HIGH
Overcast,Potholes / Damaged,Congested,Very Poor (<100m),Dawn,30,Highway,Daylight,21,69.9,MEDIUM
Foggy,Under Construction,Congested,Good (>1km),Evening Rush,102,Ghat / Mountain,Well Lit Street,32,97,HIGH
Foggy,Wet,Moderate,Poor (100-500m),Evening Rush,104,Urban Arterial,Dark / No Lights,15,97,HIGH
Snow,Wet,Moderate,Poor (100-500m),Afternoon,94,Residential,Well Lit Street,13,97,HIGH
Clear,Wet,Moderate,Good (>1km),Dawn,59,Highway,Well Lit Street,8,31.5,LOW
Foggy,Wet,Congested,Moderate (500m-1km),Evening Rush,113,Residential,Dimly Lit,20,96.9,HIGH
Rainy,Dry,Low,Moderate (500m-1km),Evening Rush,58,Highway,Dark / No Lights,2,49.2,MEDIUM
Foggy,Wet,Low,Very Poor (<100m),Evening Rush,74,Highway,Dark / No Lights,32,97,HIGH
Foggy,Dry,Heavy,Good (>1km),Dawn,89,Rural Single Lane,Daylight,24,58.8,MEDIUM
Overcast,Dry,Heavy,Good (>1km),Dawn,37,Rural Single Lane,Daylight,2,33.4,LOW
Overcast,Icy,Congested,Poor (100-500m),Evening Rush,92,Rural Single Lane,Dimly Lit,8,97,HIGH
Snow,Wet,Congested,Poor (100-500m),Evening Rush,93,Highway,Dark / No Lights,5,97,HIGH
Overcast,Icy,Moderate,Good (>1km),Late Night,115,Highway,Well Lit Street,9,86.5,HIGH
Snow,Icy,Moderate,Moderate (500m-1km),Late Night,78,Urban Arterial,Daylight,17,92.5,HIGH
Overcast,Under Construction,Moderate,Very Poor (<100m),Evening Rush,116,Ghat / Mountain,Dark / No Lights,34,97,HIGH
Snow,Dry,Congested,Moderate (500m-1km),Morning Rush,85,Residential,Dark / No Lights,8,77.5,HIGH
Rainy,Icy,Moderate,Good (>1km),Evening Rush,50,Highway,Daylight,24,63.2,MEDIUM
Rainy,Wet,Moderate,Very Poor (<100m),Late Night,97,Rural Single Lane,Well Lit Street,35,97,HIGH
Foggy,Under Construction,Low,Moderate (500m-1km),Evening Rush,106,Residential,Daylight,24,61.4,MEDIUM
Clear,Potholes / Damaged,Congested,Good (>1km),Dawn,101,Residential,Well Lit Street,6,71.3,HIGH
Foggy,Icy,Congested,Good (>1km),Late Night,101,Highway,Dark / No Lights,12,97,HIGH
Overcast,Under Construction,Moderate,Poor (100-500m),Evening Rush,64,Highway,Well Lit Street,35,36.8,LOW
Rainy,Dry,Heavy,Very Poor (<100m),Evening Rush,97,Residential,Dark / No Lights,11,97,HIGH
Clear,Dry,Moderate,Good (>1km),Afternoon,31,Highway,Dark / No Lights,19,37.7,LOW
Clear,Wet,Low,Very Poor (<100m),Dawn,98,Urban Arterial,Daylight,15,75.6,HIGH
Foggy,Dry,Low,Poor (100-500m),Morning Rush,55,Urban Arterial,Well Lit Street,12,57.3,MEDIUM
Snow,Dry,Heavy,Good (>1km),Evening Rush,100,Ghat / Mountain,Dimly Lit,21,97,HIGH
Clear,Under Construction,Heavy,Poor (100-500m),Late Night,25,Residential,Daylight,4,63.1,MEDIUM
Clear,Wet,Low,Moderate (500m-1km),Dawn,83,Highway,Dark / No Lights,4,53.6,MEDIUM
Clear,Under Construction,Moderate,Very Poor (<100m),Morning Rush,36,Rural Single Lane,Daylight,25,36.6,LOW
Rainy,Icy,Moderate,Good (>1km),Evening Rush,104,Rural Single Lane,Well Lit Street,1,86.1,HIGH
Foggy,Under Construction,Heavy,Poor (100-500m),Afternoon,37,Highway,Dimly Lit,30,76.4,HIGH
Clear,Potholes / Damaged,Congested,Poor (100-500m),Morning Rush,81,Highway,Dark / No Lights,31,85.2,HIGH
Rainy,Icy,Low,Good (>1km),Dawn,51,Highway,Dimly Lit,18,66.7,MEDIUM
Rainy,Dry,Heavy,Good (>1km),Dawn,105,Residential,Daylight,14,69.2,MEDIUM
Foggy,Potholes / Damaged,Low,Moderate (500m-1km),Evening Rush,86,Urban Arterial,Well Lit Street,24,51.4,MEDIUM
Rainy,Dry,Congested,Good (>1km),Evening Rush,89,Ghat / Mountain,Dark / No Lights,21,87.1,HIGH
Foggy,Potholes / Damaged,Congested,Moderate (500m-1km),Afternoon,111,Rural Single Lane,Dark / No Lights,6,97,HIGH
Clear,Dry,Moderate,Moderate (500m-1km),Dawn,107,Highway,Dimly Lit,21,40.1,LOW
Overcast,Potholes / Damaged,Moderate,Moderate (500m-1km),Afternoon,77,Ghat / Mountain,Dimly Lit,27,50.2,MEDIUM
Foggy,Icy,Moderate,Very Poor (<100m),Evening Rush,50,Rural Single Lane,Dark / No Lights,4,97,HIGH
Foggy,Wet,Congested,Good (>1km),Evening Rush,55,Residential,Dark / No Lights,28,90.4,HIGH
Snow,Dry,Moderate,Very Poor (<100m),Morning Rush,33,Rural Single Lane,Well Lit Street,9,59.6,MEDIUM
Clear,Potholes / Damaged,Congested,Poor (100-500m),Evening Rush,113,Rural Single Lane,Dimly Lit,2,93.6,HIGH
Clear,Wet,Moderate,Moderate (500m-1km),Dawn,117,Residential,Dark / No Lights,30,73.7,HIGH
Rainy,Icy,Congested,Very Poor (<100m),Evening Rush,73,Rural Single Lane,Dimly Lit,10,97,HIGH
Overcast,Potholes / Damaged,Congested,Poor (100-500m),Evening Rush,69,Urban Arterial,Dark / No Lights,2,90.6,HIGH
Foggy,Wet,Heavy,Moderate (500m-1km),Late Night,73,Rural Single Lane,Dimly Lit,31,90.8,HIGH
Rainy,Icy,Heavy,Good (>1km),Late Night,98,Residential,Well Lit Street,19,97,HIGH
Clear,Icy,Congested,Good (>1km),Evening Rush,118,Highway,Dark / No Lights,23,97,HIGH
Overcast,Dry,Heavy,Poor (100-500m),Afternoon,109,Residential,Daylight,22,77.2,HIGH
Clear,Potholes / Damaged,Moderate,Poor (100-500m),Late Night,97,Residential,Daylight,2,88.5,HIGH
Clear,Under Construction,Heavy,Good (>1km),Morning Rush,31,Ghat / Mountain,Dark / No Lights,31,68.2,MEDIUM
Snow,Wet,Congested,Good (>1km),Dawn,65,Ghat / Mountain,Dark / No Lights,34,97,HIGH
Foggy,Dry,Low,Very Poor (<100m),Morning Rush,108,Rural Single Lane,Well Lit Street,24,86.7,HIGH
Overcast,Under Construction,Congested,Good (>1km),Afternoon,80,Residential,Dark / No Lights,13,51.5,MEDIUM
Rainy,Wet,Low,Moderate (500m-1km),Morning Rush,95,Residential,Dark / No Lights,21,92.1,HIGH
Snow,Potholes / Damaged,Low,Poor (100-500m),Evening Rush,43,Rural Single Lane,Well Lit Street,20,78.3,HIGH
Overcast,Under Construction,Moderate,Moderate (500m-1km),Evening Rush,46,Residential,Dark / No Lights,35,35.6,LOW
Clear,Wet,Congested,Good (>1km),Evening Rush,89,Rural Single Lane,Daylight,34,49.7,MEDIUM
Clear,Under Construction,Low,Poor (100-500m),Late Night,38,Highway,Well Lit Street,29,50.8,MEDIUM
Foggy,Wet,Low,Very Poor (<100m),Dawn,80,Highway,Dimly Lit,22,77.3,HIGH
Foggy,Wet,Moderate,Very Poor (<100m),Late Night,31,Residential,Daylight,24,93.5,HIGH
Rainy,Icy,Congested,Good (>1km),Late Night,66,Rural Single Lane,Daylight,29,97,HIGH
Overcast,Potholes / Damaged,Low,Very Poor (<100m),Morning Rush,115,Urban Arterial,Dark / No Lights,16,96.8,HIGH
Clear,Potholes / Damaged,Congested,Poor (100-500m),Morning Rush,48,Highway,Dark / No Lights,32,86.6,HIGH
Clear,Icy,Moderate,Good (>1km),Late Night,58,Urban Arterial,Dimly Lit,6,63.4,MEDIUM
Clear,Icy,Congested,Moderate (500m-1km),Morning Rush,44,Ghat / Mountain,Dark / No Lights,32,97,HIGH
Overcast,Potholes / Damaged,Moderate,Very Poor (<100m),Afternoon,58,Urban Arterial,Dimly Lit,29,55.8,MEDIUM
Snow,Potholes / Damaged,Congested,Good (>1km),Morning Rush,90,Residential,Daylight,19,75.6,HIGH
Clear,Dry,Low,Good (>1km),Evening Rush,115,Highway,Dark / No Lights,23,58.5,MEDIUM
Snow,Icy,Low,Good (>1km),Morning Rush,71,Urban Arterial,Dark / No Lights,31,97,HIGH
Rainy,Wet,Moderate,Poor (100-500m),Dawn,56,Residential,Daylight,22,74.0,HIGH
Rainy,Potholes / Damaged,Congested,Very Poor (<100m),Morning Rush,48,Residential,Dimly Lit,35,82.5,HIGH
Foggy,Dry,Low,Very Poor (<100m),Evening Rush,51,Rural Single Lane,Daylight,6,62.0,MEDIUM
Snow,Wet,Low,Very Poor (<100m),Morning Rush,90,Rural Single Lane,Dimly Lit,16,80.0,HIGH
Overcast,Icy,Heavy,Moderate (500m-1km),Late Night,94,Rural Single Lane,Daylight,17,97,HIGH
Foggy,Icy,Moderate,Moderate (500m-1km),Dawn,33,Urban Arterial,Dimly Lit,25,76.3,HIGH
Overcast,Dry,Heavy,Moderate (500m-1km),Afternoon,79,Rural Single Lane,Daylight,11,33.5,LOW
Snow,Potholes / Damaged,Congested,Poor (100-500m),Afternoon,73,Residential,Dimly Lit,10,93.0,HIGH
Foggy,Icy,Low,Moderate (500m-1km),Afternoon,75,Urban Arterial,Daylight,25,71.5,HIGH
Clear,Wet,Moderate,Moderate (500m-1km),Dawn,117,Urban Arterial,Well Lit Street,14,56.7,MEDIUM
Rainy,Wet,Congested,Poor (100-500m),Late Night,115,Urban Arterial,Dimly Lit,17,97,HIGH
Foggy,Under Construction,Moderate,Very Poor (<100m),Morning Rush,35,Rural Single Lane,Well Lit Street,2,63.5,MEDIUM
Rainy,Icy,Heavy,Poor (100-500m),Morning Rush,84,Residential,Well Lit Street,21,97,HIGH
Snow,Icy,Heavy,Poor (100-500m),Morning Rush,86,Ghat / Mountain,Daylight,15,97,HIGH
Clear,Icy,Congested,Poor (100-500m),Morning Rush,34,Ghat / Mountain,Dimly Lit,30,97,HIGH
Rainy,Wet,Heavy,Poor (100-500m),Evening Rush,35,Urban Arterial,Well Lit Street,17,87.1,HIGH
Rainy,Dry,Heavy,Good (>1km),Morning Rush,87,Highway,Dimly Lit,20,52.4,MEDIUM
Clear,Icy,Low,Good (>1km),Late Night,63,Ghat / Mountain,Dimly Lit,31,85.0,HIGH
Rainy,Icy,Low,Poor (100-500m),Late Night,111,Highway,Daylight,17,97,HIGH
Foggy,Potholes / Damaged,Moderate,Moderate (500m-1km),Morning Rush,79,Residential,Daylight,31,56.7,MEDIUM
Foggy,Under Construction,Low,Poor (100-500m),Late Night,72,Ghat / Mountain,Well Lit Street,31,95.3,HIGH
Foggy,Under Construction,Low,Moderate (500m-1km),Evening Rush,111,Urban Arterial,Dark / No Lights,21,78.4,HIGH
Clear,Icy,Low,Moderate (500m-1km),Late Night,27,Residential,Dark / No Lights,16,80.1,HIGH
Clear,Potholes / Damaged,Low,Moderate (500m-1km),Late Night,110,Ghat / Mountain,Dimly Lit,20,84.7,HIGH
Overcast,Potholes / Damaged,Low,Moderate (500m-1km),Afternoon,107,Ghat / Mountain,Well Lit Street,11,67.8,MEDIUM
Clear,Icy,Low,Very Poor (<100m),Morning Rush,48,Residential,Well Lit Street,19,73.6,HIGH
Clear,Under Construction,Congested,Moderate (500m-1km),Dawn,107,Ghat / Mountain,Dimly Lit,20,69.2,MEDIUM
Overcast,Potholes / Damaged,Moderate,Moderate (500m-1km),Dawn,94,Highway,Dimly Lit,23,52.4,MEDIUM
Clear,Icy,Congested,Poor (100-500m),Morning Rush,51,Rural Single Lane,Well Lit Street,32,87.2,HIGH
Rainy,Icy,Heavy,Poor (100-500m),Morning Rush,87,Urban Arterial,Well Lit Street,18,97,HIGH
Foggy,Under Construction,Heavy,Good (>1km),Morning Rush,119,Highway,Daylight,26,74.3,HIGH
Foggy,Wet,Heavy,Good (>1km),Evening Rush,80,Residential,Dark / No Lights,15,93.3,HIGH
Overcast,Wet,Congested,Good (>1km),Dawn,72,Urban Arterial,Daylight,31,45.0,MEDIUM
Foggy,Potholes / Damaged,Moderate,Poor (100-500m),Morning Rush,51,Residential,Dark / No Lights,29,97,HIGH
Snow,Icy,Heavy,Poor (100-500m),Dawn,67,Residential,Dimly Lit,3,97,HIGH
Foggy,Under Construction,Congested,Good (>1km),Late Night,110,Ghat / Mountain,Dimly Lit,1,97,HIGH
Overcast,Dry,Low,Moderate (500m-1km),Dawn,38,Ghat / Mountain,Dark / No Lights,12,56.3,MEDIUM
Foggy,Under Construction,Moderate,Moderate (500m-1km),Afternoon,105,Highway,Daylight,16,63.2,MEDIUM
Overcast,Under Construction,Moderate,Good (>1km),Late Night,51,Rural Single Lane,Dimly Lit,7,25.7,LOW
Clear,Dry,Heavy,Poor (100-500m),Dawn,37,Residential,Dark / No Lights,33,74.0,HIGH
Clear,Dry,Moderate,Very Poor (<100m),Evening Rush,120,Urban Arterial,Dark / No Lights,25,79.8,HIGH
Foggy,Wet,Moderate,Moderate (500m-1km),Late Night,81,Ghat / Mountain,Dark / No Lights,21,97,HIGH
Overcast,Under Construction,Low,Very Poor (<100m),Morning Rush,83,Residential,Dimly Lit,5,39.2,LOW
Snow,Wet,Congested,Very Poor (<100m),Morning Rush,25,Urban Arterial,Well Lit Street,34,97,HIGH
Foggy,Potholes / Damaged,Low,Poor (100-500m),Evening Rush,81,Rural Single Lane,Daylight,14,72.2,HIGH
Clear,Under Construction,Moderate,Poor (100-500m),Dawn,51,Urban Arterial,Daylight,16,35.8,LOW
Overcast,Icy,Congested,Moderate (500m-1km),Late Night,54,Rural Single Lane,Dimly Lit,30,75.6,HIGH
Clear,Under Construction,Moderate,Very Poor (<100m),Late Night,60,Ghat / Mountain,Dimly Lit,3,72.6,HIGH
Snow,Dry,Heavy,Very Poor (<100m),Late Night,62,Urban Arterial,Well Lit Street,1,96.4,HIGH
Rainy,Wet,Heavy,Good (>1km),Afternoon,92,Residential,Dark / No Lights,31,97,HIGH
Overcast,Under Construction,Congested,Very Poor (<100m),Dawn,73,Highway,Dark / No Lights,12,72.0,HIGH
Overcast,Icy,Heavy,Moderate (500m-1km),Dawn,55,Highway,Dimly Lit,10,66.2,MEDIUM
Rainy,Dry,Low,Good (>1km),Morning Rush,26,Ghat / Mountain,Well Lit Street,27,53.5,MEDIUM
Overcast,Wet,Low,Poor (100-500m),Evening Rush,50,Urban Arterial,Dimly Lit,34,51.2,MEDIUM
Overcast,Potholes / Damaged,Low,Poor (100-500m),Late Night,86,Highway,Daylight,11,69.6,MEDIUM
Snow,Dry,Heavy,Poor (100-500m),Dawn,93,Highway,Dimly Lit,6,97,HIGH
Overcast,Under Construction,Moderate,Good (>1km),Morning Rush,32,Ghat / Mountain,Dark / No Lights,29,57.0,MEDIUM
Clear,Dry,Congested,Good (>1km),Afternoon,58,Residential,Daylight,31,29.4,LOW
Foggy,Potholes / Damaged,Moderate,Good (>1km),Dawn,95,Highway,Dimly Lit,12,74.6,HIGH
Overcast,Under Construction,Congested,Good (>1km),Afternoon,103,Urban Arterial,Well Lit Street,35,52.1,MEDIUM
Overcast,Dry,Moderate,Moderate (500m-1km),Late Night,30,Urban Arterial,Dark / No Lights,28,45.9,MEDIUM
Overcast,Under Construction,Congested,Poor (100-500m),Evening Rush,111,Highway,Well Lit Street,17,78.5,HIGH
Snow,Under Construction,Moderate,Very Poor (<100m),Afternoon,64,Ghat / Mountain,Dimly Lit,30,79.5,HIGH
Snow,Potholes / Damaged,Heavy,Very Poor (<100m),Dawn,53,Urban Arterial,Daylight,2,92.0,HIGH
Foggy,Icy,Low,Very Poor (<100m),Evening Rush,60,Residential,Dark / No Lights,27,97,HIGH
Clear,Icy,Moderate,Very Poor (<100m),Morning Rush,104,Residential,Dimly Lit,26,90.7,HIGH
Overcast,Icy,Low,Very Poor (<100m),Afternoon,117,Residential,Dimly Lit,21,91.4,HIGH
Rainy,Potholes / Damaged,Heavy,Poor (100-500m),Morning Rush,25,Ghat / Mountain,Daylight,10,97,HIGH
Overcast,Under Construction,Moderate,Poor (100-500m),Late Night,85,Residential,Well Lit Street,30,52.8,MEDIUM
Foggy,Dry,Heavy,Moderate (500m-1km),Morning Rush,39,Ghat / Mountain,Dimly Lit,33,69.7,MEDIUM
Clear,Wet,Heavy,Very Poor (<100m),Dawn,68,Rural Single Lane,Well Lit Street,19,74.9,HIGH
Snow,Dry,Low,Moderate (500m-1km),Afternoon,47,Urban Arterial,Dimly Lit,34,41.5,LOW
Clear,Under Construction,Low,Good (>1km),Morning Rush,53,Rural Single Lane,Dimly Lit,6,14.7,LOW
Rainy,Dry,Heavy,Poor (100-500m),Dawn,102,Ghat / Mountain,Well Lit Street,31,97,HIGH
Clear,Wet,Heavy,Good (>1km),Afternoon,109,Rural Single Lane,Dimly Lit,29,71.4,HIGH
Foggy,Wet,Heavy,Good (>1km),Late Night,43,Rural Single Lane,Dimly Lit,3,83.6,HIGH
Foggy,Dry,Moderate,Good (>1km),Morning Rush,105,Residential,Daylight,19,59.3,MEDIUM
Clear,Under Construction,Congested,Good (>1km),Afternoon,109,Ghat / Mountain,Well Lit Street,35,69.5,MEDIUM
Foggy,Icy,Heavy,Moderate (500m-1km),Dawn,38,Urban Arterial,Dimly Lit,10,90.6,HIGH
Snow,Wet,Heavy,Poor (100-500m),Dawn,97,Ghat / Mountain,Well Lit Street,18,97,HIGH
Clear,Under Construction,Moderate,Very Poor (<100m),Afternoon,102,Urban Arterial,Daylight,7,62.7,MEDIUM
Overcast,Icy,Moderate,Very Poor (<100m),Afternoon,110,Residential,Dark / No Lights,27,97,HIGH
Clear,Under Construction,Congested,Moderate (500m-1km),Late Night,102,Urban Arterial,Dark / No Lights,4,88.9,HIGH
Rainy,Icy,Heavy,Very Poor (<100m),Afternoon,70,Urban Arterial,Daylight,19,97,HIGH
Rainy,Wet,Congested,Moderate (500m-1km),Dawn,32,Residential,Daylight,20,63.6,MEDIUM
Rainy,Under Construction,Moderate,Very Poor (<100m),Morning Rush,59,Rural Single Lane,Dark / No Lights,23,71.6,HIGH
Rainy,Wet,Moderate,Good (>1km),Dawn,62,Rural Single Lane,Daylight,14,51.0,MEDIUM
Rainy,Icy,Congested,Good (>1km),Evening Rush,25,Rural Single Lane,Well Lit Street,6,80.7,HIGH
Clear,Under Construction,Low,Good (>1km),Morning Rush,115,Highway,Dark / No Lights,33,60.0,MEDIUM
Rainy,Dry,Moderate,Moderate (500m-1km),Dawn,75,Ghat / Mountain,Well Lit Street,34,54.3,MEDIUM
Overcast,Icy,Congested,Good (>1km),Dawn,66,Ghat / Mountain,Dimly Lit,19,86.0,HIGH
Foggy,Icy,Heavy,Poor (100-500m),Afternoon,113,Residential,Dimly Lit,15,97,HIGH
Snow,Wet,Heavy,Very Poor (<100m),Afternoon,88,Rural Single Lane,Daylight,10,95.9,HIGH
Clear,Under Construction,Moderate,Good (>1km),Dawn,97,Rural Single Lane,Dark / No Lights,10,58.5,MEDIUM
Clear,Dry,Heavy,Good (>1km),Evening Rush,45,Residential,Dimly Lit,6,28.9,LOW
Rainy,Wet,Low,Poor (100-500m),Evening Rush,101,Urban Arterial,Dark / No Lights,33,97,HIGH
Foggy,Wet,Low,Moderate (500m-1km),Afternoon,62,Ghat / Mountain,Dimly Lit,5,73.5,HIGH
Rainy,Dry,Heavy,Moderate (500m-1km),Dawn,100,Highway,Dimly Lit,24,68.2,MEDIUM
Rainy,Icy,Low,Very Poor (<100m),Morning Rush,103,Residential,Dark / No Lights,22,97,HIGH
Overcast,Under Construction,Congested,Good (>1km),Evening Rush,26,Residential,Dimly Lit,16,34.2,LOW
Overcast,Under Construction,Moderate,Poor (100-500m),Dawn,61,Highway,Dimly Lit,24,40.2,LOW
Overcast,Under Construction,Heavy,Poor (100-500m),Late Night,62,Urban Arterial,Dimly Lit,18,70.5,HIGH
Snow,Dry,Moderate,Very Poor (<100m),Late Night,51,Highway,Dimly Lit,20,76.0,HIGH
Rainy,Wet,Low,Moderate (500m-1km),Late Night,47,Urban Arterial,Well Lit Street,32,66.2,MEDIUM
Snow,Dry,Congested,Good (>1km),Evening Rush,74,Urban Arterial,Daylight,29,59.5,MEDIUM
Overcast,Wet,Congested,Moderate (500m-1km),Morning Rush,91,Urban Arterial,Dark / No Lights,2,94.2,HIGH
Snow,Wet,Heavy,Poor (100-500m),Evening Rush,94,Highway,Daylight,12,97,HIGH
Clear,Icy,Low,Good (>1km),Dawn,86,Residential,Dimly Lit,15,48.8,MEDIUM
Overcast,Dry,Moderate,Very Poor (<100m),Late Night,111,Highway,Dimly Lit,7,71.2,HIGH
Foggy,Icy,Low,Moderate (500m-1km),Morning Rush,82,Residential,Daylight,31,76.1,HIGH
Clear,Potholes / Damaged,Heavy,Moderate (500m-1km),Afternoon,26,Ghat / Mountain,Dimly Lit,31,65.0,MEDIUM
Clear,Under Construction,Congested,Moderate (500m-1km),Late Night,107,Ghat / Mountain,Dimly Lit,7,82.6,HIGH
Rainy,Icy,Moderate,Poor (100-500m),Dawn,57,Highway,Dimly Lit,13,86.1,HIGH
Foggy,Potholes / Damaged,Moderate,Poor (100-500m),Late Night,26,Ghat / Mountain,Dark / No Lights,34,97,HIGH
Clear,Potholes / Damaged,Moderate,Moderate (500m-1km),Dawn,47,Residential,Daylight,9,28.2,LOW
Clear,Potholes / Damaged,Moderate,Good (>1km),Evening Rush,78,Highway,Daylight,27,33.6,LOW
Foggy,Under Construction,Moderate,Moderate (500m-1km),Afternoon,38,Rural Single Lane,Well Lit Street,6,42.7,MEDIUM
Snow,Wet,Low,Moderate (500m-1km),Afternoon,85,Residential,Dimly Lit,10,60.6,MEDIUM
